Zipcode,City,County,State,Country,Timezone
85706-3138,Tucson,Pima,AZ,US,US/Mountain
85706-3232,Tucson,Pima,AZ,US,US/Mountain
85730-2326,Tucson,Pima,AZ,US,US/Mountain
85737-9301,Tucson,Pima,AZ,US,US/Mountain
85741-2754,Tucson,Pima,AZ,US,US/Mountain
85741-3530,Tucson,Pima,AZ,US,US/Mountain
85757-8542,Tucson,Pima,AZ,US,US/Mountain
87106-3808,Albuquerque,Bernalillo,NM,US,US/Mountain
87107,Albuquerque,Bernalillo,NM,US,US/Mountain
87108-3023,Albuquerque,Bernalillo,NM,US,US/Mountain
87110-6949,Albuquerque,Bernalillo,NM,US,US/Mountain
87121-6458,Albuquerque,Bernalillo,NM,US,US/Mountain
97906-5034,Harper,Malheur,OR,US,US/Mountain
97914-4631,Ontario,Malheur,OR,US,US/Mountain
59041-9484,Joliet,Carbon,MT,US,US/Mountain
59648-8661,Wolf Creek,Lewis and Clark,MT,US,US/Mountain
79901-3049,El Paso,El Paso,TX,US,US/Mountain
79902-2157,El Paso,El Paso,TX,US,US/Mountain
79904-3705,El Paso,El Paso,TX,US,US/Mountain
79915-2037,El Paso,El Paso,TX,US,US/Mountain
80123-6743,Littleton,Arapahoe,CO,US,US/Mountain
80220-4518,Denver,Denver,CO,US,US/Mountain
80238-3110,Denver,Denver,CO,US,US/Mountain
80239-5052,Denver,Denver,CO,US,US/Mountain
80301-1002,Boulder,Boulder,CO,US,US/Mountain
80433-6403,Conifer,Jefferson,CO,US,US/Mountain
80917-3641,Colorado Springs,El Paso,CO,US,US/Mountain
82935,Green River,Sweetwater,WY,US,US/Mountain
82938,Mc Kinnon,Sweetwater,WY,US,US/Mountain
83467-5079,Salmon,Lemhi,ID,US,US/Mountain
84015-8528,Clearfield,Davis,UT,US,US/Mountain
84078-4537,Vernal,Uintah,UT,US,US/Mountain
84087-1604,Woods Cross,Davis,UT,US,US/Mountain
84088-8918,West Jordan,Salt Lake,UT,US,US/Mountain
84088-9454,West Jordan,Salt Lake,UT,US,US/Mountain
84098,Park City,Summit,UT,US,US/Mountain
84101-2310,Salt Lake City,Salt Lake,UT,US,US/Mountain
84104-1027,Salt Lake City,Salt Lake,UT,US,US/Mountain
84106-3342,Salt Lake City,Salt Lake,UT,US,US/Mountain
84119-2210,West Valley City,Salt Lake,UT,US,US/Mountain
84121-3516,Salt Lake City,Salt Lake,UT,US,US/Mountain
84401-3806,Ogden,Weber,UT,US,US/Mountain
84404-6403,Ogden,Weber,UT,US,US/Mountain
84657,Sigurd,Sevier,UT,US,US/Mountain
84660-5000,Spanish Fork,Utah,UT,US,US/Mountain
85006-2017,Phoenix,Maricopa,AZ,US,US/Mountain
85006-2112,Phoenix,Maricopa,AZ,US,US/Mountain
85006-3249,Phoenix,Maricopa,AZ,US,US/Mountain
85006-3525,Phoenix,Maricopa,AZ,US,US/Mountain
85007-2210,Phoenix,Maricopa,AZ,US,US/Mountain
85007-2756,Phoenix,Maricopa,AZ,US,US/Mountain
85014-2807,Phoenix,Maricopa,AZ,US,US/Mountain
85015-5309,Phoenix,Maricopa,AZ,US,US/Mountain
85016-1307,Phoenix,Maricopa,AZ,US,US/Mountain
85019-2709,Phoenix,Maricopa,AZ,US,US/Mountain
85033-2735,Phoenix,Maricopa,AZ,US,US/Mountain
